frame,time,rx,ry,rz,px,py,pz
0,0,0.189074,0.028391,0.046608,-0.440618,0.063593,0.634782
1,0.008332,0.250511,0.017196,-0.139951,-0.440585,0.063454,0.634757
2,0.016665,0.191026,0.001583,-0.117607,-0.440606,0.063472,0.634768
3,0.024997,0.164714,-0.001595,-0.086051,-0.440587,0.063449,0.634781
4,0.03333,0.148746,-0.001747,-0.085959,-0.4406,0.063507,0.634765
5,0.041662,0.052735,-0.008717,-0.184357,-0.440583,0.063448,0.634759
6,0.049995,0.143364,-0.005943,-0.123375,-0.440553,0.063422,0.634723
7,0.058327,0.051293,-0.011679,-0.13475,-0.440586,0.063433,0.634722
8,0.06666,0.228689,0.025683,-0.127879,-0.440583,0.063455,0.63474
9,0.074992,0.039148,-0.024156,-0.14813,-0.440615,0.063504,0.634745
10,0.083325,0.118876,-0.001526,-0.122591,-0.440601,0.063497,0.634758
11,0.091657,0.177983,0.018761,-0.192949,-0.440637,0.063546,0.634744
12,0.09999,0.216825,0.018415,-0.071171,-0.440583,0.06346,0.634742
13,0.108322,0.013533,-0.026521,-0.172783,-0.440595,0.063454,0.634758
14,0.116655,0.156577,0.002956,-0.101854,-0.440601,0.063461,0.634768
15,0.124987,0.147798,0.001713,-0.102006,-0.440586,0.063465,0.63479
16,0.13332,0.086698,-0.007632,-0.168486,-0.440583,0.063419,0.63478
17,0.141652,-0.000266,-0.027473,-0.156191,-0.440575,0.063442,0.634797
18,0.149985,0.113139,0.003343,-0.19399,-0.440593,0.063432,0.634803
19,0.158317,0.12215,0.004257,-0.150833,-0.44059,0.063485,0.634765
20,0.16665,0.101942,-0.011044,-0.104682,-0.440578,0.063421,0.634766
21,0.174982,0.074873,-0.004998,-0.168224,-0.440594,0.063475,0.634746
22,0.183315,0.050359,-0.01523,-0.190358,-0.440573,0.063446,0.634715
23,0.191647,0.076653,-0.017931,-0.076411,-0.440575,0.063492,0.634685
24,0.19998,0.126503,0.004654,-0.19806,-0.440593,0.063513,0.634704
25,0.208312,0.078892,-0.004728,-0.174783,-0.440608,0.06349,0.634715
26,0.216645,0.157031,0.004916,-0.076282,-0.440625,0.063523,0.634725
27,0.224977,0.192776,0.00968,-0.180715,-0.440598,0.063512,0.634711
28,0.23331,0.055205,-0.015202,-0.109023,-0.440589,0.063442,0.634739
29,0.241642,0.103361,-0.002311,-0.135883,-0.440569,0.063401,0.634735
30,0.249975,0.037538,-0.01204,-0.107983,-0.440574,0.063415,0.634758
31,0.258307,0.074887,-0.021543,-0.178342,-0.440542,0.063322,0.634764
32,0.26664,0.293551,0.027324,-0.091787,-0.440571,0.063396,0.634786
33,0.274972,0.078346,-0.014347,-0.132998,-0.440608,0.063468,0.634809
34,0.283304,0.044453,-0.001466,-0.053716,-0.440603,0.063427,0.634801
35,0.291637,0.141867,-0.005726,-0.138824,-0.440586,0.063419,0.634792
36,0.299969,0.000111,-0.024106,-0.152934,-0.440564,0.063398,0.634768
37,0.308302,0.15593,0.027808,-0.164372,-0.440589,0.06345,0.634746
38,0.316634,0.177964,0.006546,-0.113403,-0.440605,0.06353,0.634734
39,0.324967,0.102105,-0.012653,-0.057663,-0.440616,0.063512,0.634742
40,0.333299,0.057016,-0.007431,-0.151712,-0.440585,0.06346,0.634731
41,0.341632,0.037264,-0.018315,-0.173231,-0.440584,0.063473,0.634744
42,0.349964,-0.045322,-0.012499,-0.218084,-0.440553,0.06338,0.634729
43,0.358297,0.046433,-0.028862,-0.142678,-0.440579,0.063412,0.63475
44,0.366629,0.009915,-0.018919,-0.139723,-0.44058,0.063418,0.634767
45,0.374962,0.215582,0.015498,-0.145876,-0.440596,0.063453,0.634746
46,0.383294,0.139513,-0.006263,-0.146509,-0.440567,0.063438,0.634751
47,0.391627,0.10222,0.007696,-0.121872,-0.440558,0.063398,0.634758
48,0.399959,-0.015569,-0.019674,-0.177778,-0.440578,0.063404,0.634769
49,0.408292,0.013624,-0.015309,-0.1997,-0.440592,0.063448,0.634788
50,0.416624,0.084481,-0.012729,-0.133005,-0.440595,0.063471,0.634762
51,0.424957,0.080375,-0.006449,-0.15398,-0.440569,0.063413,0.634748
52,0.433289,0.062444,-0.036436,-0.074387,-0.440569,0.063408,0.634768
53,0.441622,0.203446,0.008095,-0.154117,-0.440608,0.063473,0.634736
54,0.449954,0.127337,-0.001645,-0.144222,-0.440643,0.063546,0.634757
55,0.458287,0.089376,0.011523,-0.074603,-0.440575,0.063365,0.634763
56,0.466619,0.135078,0.014314,-0.167135,-0.440536,0.063364,0.634724
57,0.474952,0.155993,-0.000756,-0.090575,-0.440552,0.0634,0.634743
58,0.483284,0.194754,0.012508,-0.102416,-0.440594,0.063442,0.634767
