pwm,psi,time
70,0,0.1
70,-0.02,0.2
70,-0.05,0.3
70,-0.05,0.4
70,-0.04,0.5
70,-0.04,0.61
70,-0.04,0.71
70,-0.02,0.81
70,0.02,0.91
71,0.01,1.01
71,-0.01,1.11
71,-0.03,1.21
71,-0.04,1.31
71,-0.04,1.41
71,-0.04,1.51
71,-0.05,1.62
71,0,1.72
71,0,1.82
71,0.01,1.92
72,-0.03,2.02
72,-0.03,2.12
72,-0.04,2.22
72,-0.04,2.32
72,-0.05,2.43
72,-0.04,2.53
72,-0.02,2.63
72,-0.03,2.73
72,-0.04,2.83
72,-0.06,2.93
73,-0.05,3.03
73,-0.02,3.13
73,-0.02,3.23
73,-0.01,3.33
73,-0.02,3.44
73,-0.02,3.54
73,-0.01,3.64
73,0,3.74
73,0.01,3.84
73,-0.03,3.94
74,-0.05,4.04
74,-0.05,4.14
74,-0.03,4.24
74,-0.03,4.34
74,-0.02,4.45
74,-0.03,4.55
74,-0.03,4.65
74,-0.02,4.75
74,0.01,4.85
74,0.01,4.95
75,0.01,5.05
75,0.03,5.15
75,0.02,5.25
75,0,5.36
75,-0.02,5.46
75,-0.02,5.56
75,0,5.66
75,0.02,5.76
75,0.02,5.86
75,0.03,5.96
76,0.03,6.06
76,0.02,6.16
76,-0.02,6.26
76,-0.02,6.37
76,-0.02,6.47
76,-0.03,6.57
76,0,6.67
76,0.01,6.77
76,0.01,6.87
76,0,6.97
77,0.01,7.07
77,0.02,7.17
77,0.01,7.28
77,0.03,7.38
77,0.03,7.48
77,0.03,7.58
77,-0.02,7.68
77,-0.01,7.78
77,-0.01,7.88
77,0.02,7.98
78,0.02,8.08
78,0.01,8.19
78,0,8.29
78,0,8.39
78,0.01,8.49
78,0.02,8.59
78,0.01,8.69
78,0,8.79
78,0,8.89
78,0,8.99
79,0,9.09
79,0,9.19
79,0.02,9.3
79,0.02,9.4
79,0.02,9.5
79,0.01,9.6
79,0.02,9.7
79,0,9.8
79,0.02,9.9
79,0.04,10
80,0.02,10.1
80,0.02,10.21
80,0.02,10.31
80,0.02,10.41
80,0.02,10.51
80,0.02,10.61
80,0.03,10.71
80,0.03,10.81
80,0.03,10.91
81,0.06,11.01
81,0.08,11.11
81,0.08,11.22
81,0,11.32
81,-0.01,11.42
81,-0.02,11.52
81,0.02,11.62
81,0.04,11.72
81,0.03,11.82
81,0.01,11.92
82,0,12.02
82,0,12.13
82,-0.01,12.23
82,0,12.33
82,-0.01,12.43
82,0,12.53
82,0,12.63
82,-0.02,12.73
82,-0.03,12.83
82,-0.04,12.93
83,-0.01,13.03
83,0.01,13.14
83,0.01,13.24
83,0.06,13.34
83,0.07,13.44
83,0.03,13.54
83,-0.01,13.64
83,-0.01,13.74
83,0,13.84
83,-0.02,13.94
84,-0.03,14.05
84,0.02,14.15
84,0.02,14.25
84,0.02,14.35
84,-0.04,14.45
84,-0.04,14.55
84,-0.04,14.65
84,-0.03,14.75
84,-0.02,14.85
84,-0.01,14.96
85,0.02,15.06
85,0.01,15.16
85,0,15.26
85,0,15.36
85,-0.01,15.46
85,0.02,15.56
85,0.01,15.66
85,0.02,15.76
85,-0.02,15.86
85,-0.02,15.97
86,-0.03,16.07
86,-0.03,16.17
86,-0.03,16.27
86,-0.02,16.37
86,-0.01,16.47
86,0,16.57
86,0.01,16.67
86,0.02,16.77
86,0.01,16.87
86,-0.03,16.98
87,-0.02,17.08
87,-0.02,17.18
87,0,17.28
87,-0.01,17.38
87,-0.01,17.48
87,-0.04,17.58
87,-0.04,17.68
87,-0.02,17.78
87,0,17.89
87,-0.01,17.99
88,-0.03,18.09
88,-0.04,18.19
88,-0.04,18.29
88,0,18.39
88,0.01,18.49
88,0.01,18.59
88,-0.03,18.69
88,-0.03,18.79
88,-0.03,18.9
88,-0.03,19
89,-0.03,19.1
89,-0.02,19.2
89,0,19.3
89,0,19.4
89,0.02,19.5
89,0.02,19.6
89,0.03,19.7
89,0,19.81
89,-0.02,19.91
89,-0.03,20.01
90,-0.01,20.11
90,-0.01,20.21
90,-0.02,20.31
90,0,20.41
90,-0.01,20.51
90,-0.02,20.61
90,-0.03,20.71
90,-0.03,20.82
90,-0.03,20.92
90,-0.02,21.02
91,-0.01,21.12
91,-0.01,21.22
91,-0.02,21.32
91,-0.03,21.42
91,-0.01,21.52
91,0,21.62
91,0.01,21.73
91,0.17,21.83
91,0.34,21.93
92,0.53,22.03
92,0.71,22.13
92,0.87,22.23
92,0.99,22.33
92,1.1,22.43
92,1.2,22.53
92,1.29,22.63
92,1.33,22.74
92,1.36,22.84
92,1.41,22.94
93,1.42,23.04
93,1.43,23.14
93,1.43,23.24
93,1.41,23.34
93,1.43,23.44
93,1.45,23.54
93,1.45,23.65
93,1.4,23.75
93,1.41,23.85
93,1.4,23.95
94,1.43,24.05
94,1.44,24.15
94,1.44,24.25
94,1.42,24.35
94,1.43,24.45
94,1.43,24.55
94,1.43,24.66
94,1.44,24.76
94,1.44,24.86
94,1.42,24.96
95,1.42,25.06
95,1.42,25.16
95,1.43,25.26
95,1.45,25.36
95,1.46,25.46
95,1.44,25.57
95,1.48,25.67
95,1.52,25.77
95,1.52,25.87
95,1.51,25.97
96,1.49,26.07
96,1.48,26.17
96,1.49,26.27
96,1.48,26.37
96,1.51,26.47
96,1.54,26.58
96,1.54,26.68
96,1.53,26.78
96,1.59,26.88
96,1.59,26.98
97,1.59,27.08
97,1.55,27.18
97,1.57,27.28
97,1.6,27.38
97,1.65,27.49
97,1.68,27.59
97,1.68,27.69
97,1.67,27.79
97,1.67,27.89
97,1.66,27.99
98,1.67,28.09
98,1.65,28.19
98,1.64,28.29
98,1.64,28.39
98,1.65,28.5
98,1.68,28.6
98,1.67,28.7
98,1.68,28.8
98,1.68,28.9
98,1.68,29
99,1.67,29.1
99,1.7,29.2
99,1.75,29.3
99,1.81,29.41
99,1.86,29.51
99,1.89,29.61
99,1.84,29.71
99,1.84,29.81
99,1.84,29.91
99,1.82,30.01
100,1.81,30.11
100,1.79,30.21
100,1.77,30.31
100,1.78,30.42
100,1.78,30.52
100,1.78,30.62
100,1.78,30.72
100,1.79,30.82
100,1.78,30.92
100,1.78,31.02
101,1.78,31.12
101,1.78,31.22
101,1.82,31.33
101,1.86,31.43
101,1.9,31.53
101,1.91,31.63
101,1.91,31.73
101,1.93,31.83
101,1.96,31.93
102,1.98,32.03
102,1.97,32.13
102,1.93,32.24
102,1.91,32.34
102,1.91,32.44
102,1.94,32.54
102,1.92,32.64
102,1.92,32.74
102,1.92,32.84
102,1.93,32.94
103,1.93,33.04
103,1.92,33.15
103,1.96,33.25
103,2.01,33.35
103,2.07,33.45
103,2.11,33.55
103,2.12,33.65
103,2.14,33.75
103,2.14,33.85
103,2.12,33.95
104,2.12,34.05
104,2.09,34.15
104,2.07,34.26
104,2.1,34.36
104,2.07,34.46
104,2.06,34.56
104,2.04,34.66
104,2.05,34.76
104,2.05,34.86
104,2.05,34.96
105,2.03,35.06
105,2.04,35.17
105,2.03,35.27
105,2.04,35.37
105,2.1,35.47
105,2.13,35.57
105,2.14,35.67
105,2.15,35.77
105,2.2,35.87
105,2.26,35.97
106,2.29,36.08
106,2.3,36.18
106,2.32,36.28
106,2.35,36.38
106,2.37,36.48
106,2.39,36.58
106,2.39,36.68
106,2.4,36.78
106,2.4,36.88
106,2.37,36.99
107,2.33,37.09
107,2.32,37.19
107,2.32,37.29
107,2.32,37.39
107,2.33,37.49
107,2.36,37.59
107,2.38,37.69
107,2.4,37.79
107,2.39,37.89
107,2.41,38
108,2.4,38.1
108,2.42,38.2
108,2.4,38.3
108,2.39,38.4
108,2.36,38.5
108,2.35,38.6
108,2.36,38.7
108,2.39,38.8
108,2.38,38.9
108,2.34,39.01
109,2.38,39.11
109,2.42,39.21
109,2.41,39.31
109,2.43,39.41
109,2.44,39.51
109,2.47,39.61
109,2.5,39.71
109,2.53,39.81
109,2.49,39.92
109,2.5,40.02
110,2.54,40.12
110,2.57,40.22
110,2.61,40.32
110,2.62,40.42
110,2.62,40.52
110,2.63,40.62
110,2.66,40.72
110,2.68,40.83
110,2.68,40.93
110,2.65,41.03
111,2.66,41.13
111,2.67,41.23
111,2.68,41.33
111,2.67,41.43
111,2.7,41.53
111,2.74,41.63
111,2.76,41.73
111,2.74,41.84
111,2.75,41.94
111,2.75,42.04
112,2.74,42.14
112,2.75,42.24
112,2.77,42.34
112,2.75,42.44
112,2.76,42.54
112,2.77,42.64
112,2.85,42.75
112,2.86,42.85
112,2.84,42.95
113,2.82,43.05
113,2.83,43.15
113,2.87,43.25
113,2.88,43.35
113,2.89,43.45
113,2.96,43.55
113,2.98,43.65
113,2.99,43.76
113,2.9,43.86
113,2.92,43.96
114,2.92,44.06
114,2.92,44.16
114,2.94,44.26
114,2.98,44.36
114,3.01,44.46
114,3,44.56
114,3,44.67
114,3.02,44.77
114,3.02,44.87
114,3.09,44.97
115,3.11,45.07
115,3.11,45.17
115,3.04,45.27
115,3.04,45.37
115,3.08,45.47
115,3.07,45.57
115,3.11,45.68
115,3.12,45.78
115,3.14,45.88
115,3.14,45.98
116,3.14,46.08
116,3.14,46.18
116,3.15,46.28
116,3.14,46.38
116,3.15,46.48
116,3.16,46.59
116,3.16,46.69
116,3.17,46.79
116,3.18,46.89
116,3.21,46.99
117,3.22,47.09
117,3.23,47.19
117,3.21,47.29
117,3.23,47.39
117,3.24,47.49
117,3.23,47.6
117,3.24,47.7
117,3.28,47.8
117,3.29,47.9
117,3.27,48
118,3.27,48.1
118,3.27,48.2
118,3.27,48.3
118,3.27,48.4
118,3.3,48.51
118,3.3,48.61
118,3.31,48.71
118,3.3,48.81
118,3.32,48.91
118,3.34,49.01
119,3.34,49.11
119,3.33,49.21
119,3.35,49.31
119,3.35,49.41
119,3.38,49.52
119,3.37,49.62
119,3.4,49.72
119,3.4,49.82
119,3.4,49.92
119,3.39,50.02
120,3.37,50.12
120,3.38,50.22
120,3.4,50.32
120,3.4,50.43
120,3.39,50.53
120,3.38,50.63
120,3.39,50.73
120,3.38,50.83
120,3.37,50.93
120,3.37,51.03
121,3.37,51.13
121,3.39,51.23
121,3.38,51.33
121,3.4,51.44
121,3.38,51.54
121,3.39,51.64
121,3.4,51.74
121,3.43,51.84
121,3.43,51.94
121,3.42,52.04
122,3.42,52.14
122,3.41,52.24
122,3.4,52.35
122,3.4,52.45
122,3.43,52.55
122,3.47,52.65
122,3.49,52.75
122,3.46,52.85
122,3.45,52.95
122,3.44,53.05
123,3.47,53.15
123,3.47,53.25
123,3.46,53.36
123,3.48,53.46
123,3.49,53.56
123,3.49,53.66
123,3.46,53.76
123,3.45,53.86
123,3.45,53.96
124,3.42,54.06
124,3.44,54.16
124,3.48,54.27
124,3.5,54.37
124,3.51,54.47
124,3.5,54.57
124,3.52,54.67
124,3.52,54.77
124,3.52,54.87
124,3.53,54.97
125,3.52,55.07
125,3.49,55.17
125,3.49,55.28
125,3.51,55.38
125,3.51,55.48
125,3.5,55.58
125,3.51,55.68
125,3.51,55.78
125,3.5,55.88
125,3.6,55.98
126,3.63,56.08
126,3.62,56.19
126,3.53,56.29
126,3.54,56.39
126,3.54,56.49
126,3.54,56.59
126,3.54,56.69
126,3.55,56.79
126,3.58,56.89
126,3.59,56.99
127,3.56,57.09
127,3.54,57.2
127,3.55,57.3
127,3.55,57.4
127,3.56,57.5
127,3.54,57.6
127,3.54,57.7
127,3.54,57.8
127,3.57,57.9
127,3.63,58
128,3.63,58.11
128,3.62,58.21
128,3.6,58.31
128,3.59,58.41
128,3.6,58.51
128,3.61,58.61
128,3.6,58.71
128,3.58,58.81
128,3.58,58.91
128,3.59,59.01
129,3.63,59.12
129,3.65,59.22
129,3.67,59.32
129,3.77,59.42
129,3.83,59.52
129,3.86,59.62
129,3.87,59.72
129,3.92,59.82
129,3.98,59.92
129,4.06,60.03
130,4.1,60.13
130,4.14,60.23
130,4.2,60.33
130,4.24,60.43
130,4.27,60.53
130,4.3,60.63
130,4.35,60.73
130,4.36,60.83
130,4.39,60.93
130,4.43,61.04
131,4.49,61.14
131,4.51,61.24
131,4.51,61.34
131,4.53,61.44
131,4.54,61.54
131,4.58,61.64
131,4.62,61.74
131,4.62,61.84
131,4.61,61.95
131,4.64,62.05
132,4.64,62.15
132,4.69,62.25
132,4.71,62.35
132,4.72,62.45
132,4.71,62.55
132,4.72,62.65
